bce_weight,lr,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc
4.0,0.0002,0.4785,0.9834,0.9572,0.611,0.5188,0.9089,0.0812,0.3124,0.5876
10.0,0.0002,0.5088,0.9826,0.958,0.6146,0.5375,0.9203,0.0353,0.907,0.5768
20.0,0.0002,0.5199,0.9894,0.9651,0.7277,0.5979,0.9089,0.0003,2.6667,0.6115
40.0,0.0002,0.6922,0.955,0.9414,0.4568,0.5334,0.9283,0.4704,1.2349,0.5438
0.1,0.0002,0.4514,0.9895,0.9616,0.7005,0.5439,0.9033,0.0037,0.0286,0.6015
0.25,0.0002,0.4593,0.9856,0.9584,0.6358,0.5196,0.8828,0.0036,0.0545,0.5966
0.5,0.0002,0.4641,0.9928,0.9654,0.7781,0.5852,0.901,0.0,0.1162,0.6214
1.0,0.0002,0.4721,0.99,0.9632,0.7202,0.5654,0.9001,0.0019,0.1757,0.6045
2.0,0.0002,0.4593,0.9909,0.9633,0.7328,0.5629,0.9013,0.0009,0.3356,0.598
4.0,0.0002,0.488,0.9856,0.9599,0.6497,0.5428,0.9174,0.0799,0.3129,0.5901
10.0,0.0002,0.547,0.982,0.9594,0.6236,0.563,0.9214,0.1773,0.5746,0.5923
20.0,0.0002,0.5439,0.9855,0.9626,0.6713,0.585,0.9346,0.0464,1.5835,0.6037
40.0,0.0002,0.6778,0.9483,0.9343,0.4175,0.5,0.9213,0.4787,1.1799,0.5236
0.1,0.0002,0.5008,0.9901,0.9647,0.7336,0.589,0.9057,0.0,0.0448,0.6061
0.25,0.0002,0.4545,0.9902,0.9624,0.7161,0.5527,0.8932,0.0032,0.0549,0.5998
0.5,0.0002,0.4848,0.9887,0.9626,0.7005,0.5644,0.8978,0.0001,0.107,0.6187
1.0,0.0002,0.4848,0.987,0.961,0.6711,0.551,0.9123,0.0284,0.1206,0.5918
2.0,0.0002,0.4689,0.9899,0.9629,0.7171,0.5621,0.9095,0.0036,0.2901,0.5988
4.0,0.0002,0.5152,0.9842,0.9599,0.6409,0.554,0.9213,0.0819,0.2968,0.5915
10.0,0.0002,0.5375,0.9827,0.9596,0.6287,0.5604,0.9208,0.183,0.5603,0.5812
20.0,0.0002,0.4848,0.9924,0.9661,0.7775,0.5983,0.9083,0.0002,2.806,0.6154
40.0,0.0002,0.5981,0.9795,0.9598,0.6148,0.5852,0.9175,0.0415,3.0016,0.6031
0.1,0.0002,0.4179,0.9907,0.961,0.71,0.5267,0.8989,0.0037,0.0269,0.5806
0.25,0.0002,0.4944,0.9859,0.9604,0.6568,0.5499,0.91,0.0167,0.0419,0.5972
0.5,0.0002,0.4179,0.9937,0.9639,0.7844,0.5569,0.8992,0.0002,0.107,0.6187
1.0,0.0002,0.429,0.9895,0.9604,0.6897,0.5252,0.9107,0.0298,0.1238,0.5924
2.0,0.0002,0.4338,0.9904,0.9616,0.712,0.5378,0.912,0.0444,0.2074,0.608
4.0,0.0002,0.4641,0.9902,0.9629,0.7203,0.5605,0.9206,0.0766,0.3028,0.6045
10.0,0.0002,0.5279,0.9847,0.961,0.6529,0.5671,0.9217,0.181,0.5798,0.583
20.0,0.0002,0.5614,0.9798,0.9581,0.6027,0.5597,0.9178,0.3036,0.8965,0.5741
