lm_key,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,2,0.0,valid_bce,33,all,3,0.001,1,0.4737,0.9932,0.9663,0.792,0.5972,0.9469,0.0905,0.0933,0.6077,5
facebook/esm2_t33_650M_UR50D,2,0.0,valid_bce,33,all,3,0.0005,1,0.4928,0.9919,0.966,0.7687,0.5995,0.931,0.073,0.0976,0.5916,6
facebook/esm2_t33_650M_UR50D,2,0.0,valid_bce,16,none,3,0.001,1,0.4976,0.9902,0.9647,0.7358,0.5881,0.9469,0.0985,0.0982,0.567,5
facebook/esm2_t33_650M_UR50D,2,0.0,valid_bce,16,none,3,0.0005,1,0.3971,0.9948,0.9638,0.8058,0.5507,0.9374,0.0845,0.1005,0.5717,6
facebook/esm2_t33_650M_UR50D,2,0.0,valid_bce,16,all,3,0.001,1,0.5789,0.9871,0.966,0.7104,0.6239,0.9376,0.0601,0.0962,0.6086,6
facebook/esm2_t33_650M_UR50D,2,0.0,valid_bce,16,all,3,0.0005,1,0.4721,0.9897,0.9629,0.715,0.5631,0.9322,0.0807,0.1018,0.5769,6
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,none,3,0.001,1,0.5455,0.9894,0.9664,0.7371,0.6173,0.9148,0.0048,0.2353,0.6241,16
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,none,3,0.0005,1,0.5104,0.9909,0.966,0.7529,0.6035,0.9316,0.0389,0.1228,0.6024,8
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,all,3,0.001,1,0.5056,0.9922,0.967,0.7789,0.612,0.9172,0.024,0.1377,0.6332,9
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,all,3,0.0005,1,0.5678,0.989,0.9672,0.7386,0.6311,0.9186,0.0274,0.12,0.6293,9
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,16,none,3,0.001,1,0.4545,0.9922,0.9644,0.762,0.5722,0.9118,0.0191,0.1658,0.6092,9
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,16,none,3,0.0005,1,0.4721,0.9904,0.9636,0.7291,0.5693,0.9284,0.0447,0.1148,0.5844,8
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,16,all,3,0.001,1,0.4753,0.9933,0.9665,0.7947,0.5993,0.9299,0.0378,0.1318,0.6222,7
