param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
4,0.4625,0.9929,0.9654,0.7796,0.5847,0.8959,0.0037,0.2149,0.5868,58
4,0.5008,0.989,0.9637,0.7136,0.58,0.8955,0.0052,0.1847,0.5884,39
4,0.6045,0.9801,0.9607,0.6244,0.5936,0.9167,0.0142,0.1802,0.5921,37
4,0.488,0.9881,0.9622,0.6907,0.5619,0.8928,0.003,0.2044,0.5876,47
4,0.453,0.9926,0.9646,0.7696,0.5744,0.8861,0.0036,0.2102,0.5828,44
4,0.5582,0.9844,0.9623,0.6616,0.5882,0.9198,0.0113,0.1663,0.5953,28
4,0.453,0.9914,0.9635,0.7415,0.5626,0.9036,0.0052,0.2097,0.5889,41
4,0.4466,0.9919,0.9637,0.7507,0.5623,0.9041,0.008,0.183,0.595,33
7,0.4769,0.9882,0.9618,0.6889,0.5544,0.911,0.01,0.1999,0.5703,32
5,0.5327,0.9873,0.9637,0.6958,0.5905,0.915,0.0099,0.19,0.5959,31
7,0.4163,0.99,0.9603,0.6941,0.519,0.9035,0.01,0.2097,0.5593,31
5,0.4785,0.9926,0.966,0.7792,0.5949,0.8901,0.007,0.2286,0.5857,34
7,0.4817,0.9879,0.9617,0.6848,0.5554,0.9041,0.0064,0.2068,0.5571,32
6,0.5056,0.9897,0.9646,0.7287,0.5897,0.907,0.0235,0.1748,0.5778,23
5,0.5199,0.9902,0.9658,0.7426,0.6047,0.9044,0.0086,0.1938,0.5903,34
6,0.4561,0.993,0.9652,0.7814,0.5813,0.9011,0.0161,0.1853,0.6036,28
6,0.512,0.9895,0.9647,0.7262,0.5925,0.8992,0.0203,0.1683,0.6009,27
5,0.5582,0.9865,0.9643,0.6931,0.6038,0.9068,0.0086,0.2012,0.5996,34
6,0.5407,0.9888,0.9656,0.7244,0.6086,0.9019,0.0144,0.1761,0.5852,30
6,0.4322,0.9936,0.9646,0.7878,0.568,0.9006,0.0258,0.1921,0.5938,23
5,0.4721,0.9926,0.9656,0.7769,0.5898,0.9045,0.0051,0.229,0.5809,37
6,0.5646,0.9853,0.9635,0.6769,0.5994,0.9126,0.0128,0.1794,0.5936,32
5,0.4514,0.9934,0.9653,0.7883,0.581,0.8991,0.007,0.2275,0.5909,33
6,0.4545,0.992,0.9642,0.756,0.5697,0.8995,0.0073,0.2096,0.6045,35
