param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
14,0.5375,0.9933,0.9697,0.814,0.6472,0.9068,0.0058,0.1852,0.6745,13
22,0.6874,0.9793,0.9642,0.6442,0.6466,0.9397,0.0265,0.3741,0.6548,12
14,0.5662,0.9908,0.9688,0.7701,0.6449,0.918,0.0046,0.173,0.6803,14
22,0.6507,0.9848,0.9675,0.701,0.6584,0.926,0.026,0.5131,0.6593,12
14,0.5758,0.9904,0.9689,0.7665,0.6488,0.9118,0.0023,0.1774,0.6725,17
14,0.6077,0.988,0.9683,0.7341,0.6516,0.9292,0.0169,0.1182,0.6667,10
22,0.6443,0.9847,0.967,0.6966,0.6527,0.9232,0.0122,0.5722,0.6744,15
22,0.6475,0.9816,0.9643,0.658,0.6339,0.9318,0.0387,0.4511,0.6692,10
14,0.5774,0.9899,0.9685,0.7573,0.6455,0.918,0.0042,0.1879,0.6738,21
22,0.5758,0.9897,0.9683,0.7537,0.6428,0.9286,0.0224,0.557,0.6663,12
14,0.6061,0.9884,0.9686,0.7407,0.654,0.9199,0.0041,0.1395,0.6718,16
14,0.6108,0.9888,0.9693,0.7495,0.661,0.9333,0.0112,0.1251,0.6691,11
22,0.6236,0.9868,0.968,0.7214,0.6542,0.9219,0.0068,0.6317,0.6672,17
14,0.5726,0.9886,0.967,0.7327,0.631,0.9336,0.0199,0.1222,0.6782,10
14,0.6029,0.987,0.9671,0.7173,0.6406,0.9249,0.006,0.1467,0.6675,14
22,0.6268,0.9839,0.9654,0.6799,0.6347,0.9224,0.0172,0.568,0.6549,15
14,0.5566,0.9909,0.9684,0.7687,0.6386,0.9175,0.0057,0.1861,0.6733,15
22,0.6587,0.9805,0.9638,0.6484,0.6344,0.9288,0.0182,0.4547,0.6683,13
14,0.6156,0.9891,0.9698,0.7554,0.6665,0.9308,0.003,0.1709,0.6842,14
14,0.6539,0.9842,0.9671,0.6937,0.6563,0.9314,0.0031,0.1643,0.672,16
22,0.6061,0.989,0.9692,0.751,0.659,0.9283,0.0102,0.6698,0.6718,18
14,0.5726,0.9928,0.971,0.8122,0.668,0.9155,0.0022,0.1848,0.6701,16
14,0.5949,0.99,0.9695,0.7643,0.659,0.9219,0.0022,0.1799,0.6707,16
22,0.6587,0.9837,0.9669,0.6883,0.6559,0.9297,0.007,0.5425,0.6742,21
22,0.7432,0.9715,0.9597,0.5876,0.6402,0.9406,0.0303,0.3505,0.6522,11
23,0.6364,0.9884,0.9702,0.75,0.6755,0.9314,0.0048,0.1411,0.6801,29
23,0.5439,0.992,0.9688,0.7875,0.6394,0.9279,0.003,0.1579,0.6857,31
23,0.5391,0.9928,0.9693,0.8029,0.6433,0.9143,0.0032,0.175,0.6853,30
23,0.5662,0.9916,0.9696,0.7871,0.6527,0.9306,0.0067,0.1506,0.6902,24
23,0.5279,0.9929,0.9689,0.8034,0.6366,0.9281,0.0024,0.1543,0.6823,33
23,0.5215,0.9932,0.9688,0.8074,0.6344,0.9155,0.0013,0.1734,0.6822,30
