Unnamed: 0,bert_freeze_layer,gearnet_freeze_layer,lr,patience,rus_seed,undersample_rate,early_stop_metric,optimizer,lr_half_epoch,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
33.0,28,0,0.0002,10,4,0.05,valid_mcc,adam,0,0.5199,0.9881,0.9638,0.7041,0.587,0.9049,0.0024,0.1645,0.5924,26
34.0,28,0,0.0004,10,4,0.05,valid_mcc,adam,0,0.63,0.9735,0.9557,0.5651,0.5734,0.9074,0.0019,0.216,0.5878,34
35.0,28,0,0.0008,10,4,0.05,valid_mcc,adam,0,0.5646,0.9778,0.9564,0.5813,0.5499,0.9045,0.0028,0.2136,0.5401,27
36.0,29,0,0.0001,10,4,0.05,valid_mcc,adam,0,0.3892,0.9946,0.9632,0.7974,0.5418,0.8931,0.0005,0.2045,0.5638,45
37.0,29,0,0.0002,10,4,0.05,valid_mcc,adam,0,0.4689,0.9909,0.9639,0.7387,0.5715,0.9041,0.0006,0.2092,0.5776,45
38.0,29,0,0.0004,10,4,0.05,valid_mcc,adam,0,0.5694,0.9775,0.9564,0.5805,0.5519,0.9111,0.0024,0.1858,0.5767,30
39.0,29,0,0.0008,10,4,0.05,valid_mcc,adam,0,0.5566,0.9791,0.9572,0.5925,0.5518,0.9081,0.0025,0.1969,0.5655,35
40.0,28,0,0.0001,10,5,0.05,valid_mcc,adam,0,0.5359,0.9812,0.9581,0.6087,0.5493,0.9125,0.0014,0.1623,0.5819,37
41.0,28,0,0.0002,10,5,0.05,valid_mcc,adam,0,0.5726,0.9752,0.9543,0.5575,0.5409,0.9135,0.0025,0.1577,0.5828,28
42.0,28,0,0.0004,10,5,0.05,valid_mcc,adam,0,0.5582,0.9841,0.962,0.6567,0.5858,0.9005,0.0012,0.2045,0.5756,48
43.0,28,0,0.0008,10,5,0.05,valid_mcc,adam,0,0.5263,0.9816,0.958,0.61,0.5448,0.8937,0.0027,0.2135,0.5532,28
44.0,29,0,0.0001,10,5,0.05,valid_mcc,adam,0,0.5359,0.9801,0.9571,0.5957,0.5426,0.9092,0.0015,0.1685,0.545,31
45.0,29,0,0.0002,10,5,0.05,valid_mcc,adam,0,0.4593,0.9915,0.9639,0.7461,0.5686,0.9046,0.0006,0.2279,0.5807,45
46.0,29,0,0.0004,10,5,0.05,valid_mcc,adam,0,0.63,0.9736,0.9558,0.5659,0.5738,0.9237,0.0033,0.1787,0.5689,25
47.0,28,0,0.0002,10,6,0.05,valid_mcc,adam,0,0.5152,0.9867,0.9623,0.6786,0.5722,0.9024,0.0019,0.1695,0.5847,35
48.0,28,0,0.0004,10,6,0.05,valid_mcc,adam,0,0.5024,0.9875,0.9623,0.6863,0.5684,0.8986,0.002,0.2001,0.5818,34
49.0,28,0,0.0002,10,7,0.05,valid_mcc,adam,0,0.5566,0.9854,0.9632,0.675,0.594,0.9131,0.0024,0.1538,0.6004,27
50.0,28,0,0.0004,10,7,0.05,valid_mcc,adam,0,0.5199,0.987,0.9628,0.6863,0.5786,0.9133,0.0017,0.2084,0.5657,34
51.0,28,0,0.0002,10,8,0.05,valid_mcc,adam,0,0.6093,0.9781,0.959,0.6035,0.5847,0.9119,0.001,0.1827,0.5874,53
52.0,28,0,0.0004,10,8,0.05,valid_mcc,adam,0,0.5997,0.9773,0.9577,0.5903,0.5726,0.9111,0.0021,0.1947,0.592,33
53.0,28,0,0.0002,10,9,0.05,valid_mcc,adam,0,0.547,0.9841,0.9614,0.6521,0.5773,0.9068,0.0026,0.1579,0.5913,28
54.0,28,0,0.0004,10,9,0.05,valid_mcc,adam,0,0.5805,0.9834,0.9625,0.6559,0.5975,0.9179,0.0029,0.163,0.5762,29
55.0,28,0,0.0002,10,10,0.05,valid_mcc,adam,0,0.5375,0.986,0.9627,0.6767,0.5841,0.9083,0.0026,0.1451,0.5926,30
56.0,28,0,0.0004,10,10,0.05,valid_mcc,adam,0,0.4928,0.9892,0.9635,0.7136,0.5752,0.9013,0.0021,0.2105,0.5779,29
57.0,28,0,0.0002,10,11,0.05,valid_mcc,adam,0,0.4801,0.9907,0.9642,0.7377,0.5781,0.9066,0.0012,0.185,0.5942,35
58.0,28,0,0.0004,10,11,0.05,valid_mcc,adam,0,0.4641,0.9913,0.964,0.7442,0.5709,0.9028,0.003,0.1872,0.5799,24
59.0,28,0,0.0002,10,12,0.05,valid_mcc,adam,0,0.4418,0.9936,0.9651,0.7914,0.5759,0.9107,0.0016,0.2019,0.6018,38
60.0,28,0,0.0004,10,12,0.05,valid_mcc,adam,0,0.4848,0.9902,0.964,0.729,0.5772,0.9048,0.0024,0.2158,0.5773,35
61.0,28,0,0.0002,10,13,0.05,valid_mcc,adam,0,0.5678,0.9856,0.964,0.6833,0.6043,0.9112,0.0015,0.1544,0.5976,28
62.0,28,0,0.0004,10,13,0.05,valid_mcc,adam,0,0.4769,0.9931,0.9664,0.791,0.5989,0.9114,0.0025,0.2322,0.5924,29
63.0,28,0,0.0002,10,14,0.05,valid_mcc,adam,0,0.5279,0.9888,0.965,0.7211,0.5996,0.9026,0.0013,0.1926,0.6032,45
64.0,28,0,0.0004,10,14,0.05,valid_mcc,adam,0,0.5566,0.9811,0.9591,0.6166,0.5645,0.9099,0.0031,0.1711,0.5733,26
65.0,28,0,0.0002,10,15,0.05,valid_mcc,adam,0,0.6045,0.9818,0.9623,0.6446,0.6044,0.9215,0.0023,0.1501,0.5941,25
66.0,28,0,0.0004,10,15,0.05,valid_mcc,adam,0,0.5439,0.9852,0.9623,0.6673,0.5831,0.8811,0.0009,0.2363,0.5941,56
67.0,28,0,0.0002,10,16,0.05,valid_mcc,adam,0,0.4482,0.9949,0.9665,0.8265,0.5942,0.9038,0.0028,0.1798,0.5817,29
68.0,28,0,0.0004,10,16,0.05,valid_mcc,adam,0,0.4928,0.9892,0.9635,0.7136,0.5752,0.9064,0.0018,0.2109,0.5939,33
69.0,28,0,0.0002,10,17,0.05,valid_mcc,adam,0,0.6475,0.9752,0.9582,0.5876,0.5948,0.926,0.0027,0.1611,0.5843,25
70.0,28,0,0.0004,10,17,0.05,valid_mcc,adam,0,0.5375,0.9861,0.9629,0.6794,0.5854,0.9023,0.0021,0.1816,0.5909,31
71.0,28,0,0.0002,10,18,0.05,valid_mcc,adam,0,0.4354,0.9934,0.9645,0.7822,0.5679,0.9078,0.0013,0.1967,0.5989,45
72.0,28,0,0.0004,10,18,0.05,valid_mcc,adam,0,0.3573,0.9953,0.9623,0.8058,0.5216,0.8959,0.0018,0.2633,0.5712,36
73.0,28,0,0.0002,10,19,0.05,valid_mcc,adam,0,0.445,0.9916,0.9633,0.744,0.5585,0.9092,0.0016,0.171,0.5927,40
74.0,28,0,0.0004,10,19,0.05,valid_mcc,adam,0,0.5837,0.9801,0.9596,0.6162,0.5785,0.9061,0.0012,0.2096,0.6003,42
75.0,28,0,0.0002,10,20,0.05,valid_mcc,adam,0,0.5869,0.9816,0.9612,0.6356,0.5904,0.9143,0.0017,0.1594,0.5914,43
76.0,28,0,0.0004,10,20,0.05,valid_mcc,adam,0,0.453,0.9923,0.9644,0.7634,0.5718,0.9019,0.0027,0.2167,0.5897,34
77.0,28,0,0.0002,10,21,0.05,valid_mcc,adam,0,0.3987,0.9954,0.9645,0.8251,0.5591,0.9066,0.0023,0.1976,0.5938,31
78.0,28,0,0.0004,10,21,0.05,valid_mcc,adam,0,0.4976,0.9909,0.9653,0.7482,0.5936,0.9011,0.0022,0.2227,0.5895,34
79.0,28,0,0.0002,10,22,0.05,valid_mcc,adam,0,0.5502,0.9841,0.9617,0.6546,0.5804,0.9083,0.0018,0.1712,0.5868,32
80.0,28,0,0.0004,10,22,0.05,valid_mcc,adam,0,0.4306,0.991,0.962,0.7239,0.5407,0.8978,0.0013,0.2296,0.5835,35
81.0,28,0,0.0002,10,23,0.05,valid_mcc,adam,0,0.614,0.9713,0.9528,0.5392,0.5506,0.9274,0.0039,0.1503,0.5677,20
82.0,28,0,0.0004,10,23,0.05,valid_mcc,adam,0,0.5582,0.985,0.9629,0.6705,0.5927,0.902,0.0021,0.1841,0.5914,30
83.0,28,0,0.0002,10,24,0.05,valid_mcc,adam,0,0.5104,0.9888,0.9641,0.7143,0.586,0.9052,0.0009,0.2028,0.5975,57
84.0,28,0,0.0004,10,24,0.05,valid_mcc,adam,0,0.4577,0.9905,0.9629,0.7247,0.5584,0.8896,0.0007,0.2316,0.5885,45
85.0,28,0,0.0002,10,25,0.05,valid_mcc,adam,0,0.5646,0.9843,0.9626,0.6629,0.5924,0.9211,0.0026,0.1556,0.6002,29
86.0,28,0,0.0004,10,25,0.05,valid_mcc,adam,0,0.5614,0.9821,0.9604,0.632,0.5749,0.9072,0.0037,0.1743,0.5973,22
87.0,28,0,0.0002,10,26,0.05,valid_mcc,adam,0,0.5949,0.9753,0.9556,0.5686,0.5582,0.9143,0.0023,0.1615,0.5854,27
88.0,28,0,0.0004,10,26,0.05,valid_mcc,adam,0,0.5423,0.9848,0.9619,0.6615,0.5793,0.919,0.0036,0.1556,0.5757,24
89.0,28,0,0.0002,10,27,0.05,valid_mcc,adam,0,0.5215,0.9903,0.966,0.7466,0.6074,0.8977,0.0008,0.1809,0.6084,44
90.0,28,0,0.0004,10,27,0.05,valid_mcc,adam,0,0.4864,0.9888,0.9628,0.7044,0.5672,0.8899,0.0013,0.219,0.5867,43
91.0,28,0,0.0002,10,28,0.05,valid_mcc,adam,0,0.5279,0.9878,0.964,0.7028,0.591,0.8922,0.0031,0.1547,0.5793,24
92.0,28,0,0.0004,10,28,0.05,valid_mcc,adam,0,0.6093,0.9745,0.9556,0.5659,0.5638,0.9133,0.0027,0.1696,0.5706,24
93.0,28,0,0.0002,10,29,0.05,valid_mcc,adam,0,0.5359,0.9832,0.96,0.6352,0.5627,0.9195,0.0028,0.1406,0.5952,25
94.0,28,0,0.0004,10,29,0.05,valid_mcc,adam,0,0.5614,0.9836,0.9618,0.6519,0.5851,0.8838,0.0017,0.1899,0.5884,43
95.0,28,0,0.0002,10,30,0.05,valid_mcc,adam,0,0.4737,0.9911,0.9643,0.7444,0.577,0.907,0.0026,0.1762,0.5783,24
