model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-33-gearnet-pretrained-resiboost,0.5991,0.9954,0.9801,0.8411,0.7004,0.9144,0.8675,,,,1,2023-12-08 04:07:26
esm-33-gearnet-pretrained-resiboost,0.4434,0.9956,0.9743,0.8034,0.5857,0.771,0.8235,,,,2,2023-12-08 04:24:04
esm-33-gearnet-pretrained-resiboost,0.7028,0.992,0.9808,0.7801,0.7306,0.9218,0.6421,,,,3,2023-12-08 04:40:44
esm-33-gearnet-pretrained-resiboost,0.6981,0.9892,0.9779,0.722,0.6985,0.9029,0.8143,,,,4,2023-12-08 04:57:20
esm-33-gearnet-pretrained-freezelm-resiboost,0.6415,0.9945,0.9808,0.8242,0.7177,0.9141,0.895,,,,0,2023-12-08 05:12:59
esm-33-gearnet-pretrained-freezelm-resiboost,0.5,0.9962,0.977,0.8413,0.6384,0.9096,0.8657,,,,1,2023-12-08 05:28:36
esm-33-gearnet-pretrained-freezelm-resiboost,0.4245,0.9962,0.9741,0.8182,0.5785,0.7754,0.8292,,,,2,2023-12-08 05:44:11
esm-33-gearnet-pretrained-freezelm-resiboost,0.6698,0.9945,0.9819,0.8304,0.7368,0.9353,0.6404,,,,3,2023-12-08 05:59:45
esm-33-gearnet-pretrained-freezelm-resiboost,0.6415,0.9924,0.9788,0.7727,0.6934,0.9072,0.8241,,,,4,2023-12-08 06:15:10
esm-33-gearnet-pretrained-freezelm-test,0.717,0.9863,0.9759,0.6786,0.685,0.9144,0.833,,,,0,2023-12-08 06:30:50
esm-33-gearnet-pretrained-freezelm-test,0.7453,0.9842,0.975,0.6556,0.6861,0.9109,0.796,,,,1,2023-12-08 06:46:28
esm-33-gearnet-pretrained-freezelm-test,0.5472,0.9844,0.9675,0.5859,0.5493,0.7667,0.8071,,,,2,2023-12-08 07:02:11
esm-33-gearnet-pretrained-freezelm-test,0.7453,0.9863,0.977,0.687,0.7036,0.9337,0.6107,,,,3,2023-12-08 07:17:45
esm-33-gearnet-pretrained-freezelm-test,0.6604,0.988,0.9753,0.6897,0.6621,0.8846,0.7833,,,,4,2023-12-08 07:33:10
esm-t33,0.7642,0.9694,0.9615,0.5015,0.6007,0.959,0.8458,0.0538,0.0752,0.0003,0,2023-12-08 11:26:53
esm-t33,0.6557,0.9875,0.9746,0.678,0.6536,0.9657,0.8436,0.059,0.0632,0.0003,1,2023-12-08 11:27:52
esm-t33,0.5283,0.9899,0.9721,0.6788,0.5848,0.9292,0.8024,0.0615,0.1266,0.0003,2,2023-12-08 11:28:52
esm-t33,0.6132,0.9926,0.9779,0.7692,0.6758,0.9673,0.5949,0.0423,0.2023,0.0003,3,2023-12-08 11:29:54
esm-t33,0.6745,0.9861,0.9741,0.662,0.6548,0.9594,0.8207,0.0406,0.0596,0.0003,4,2023-12-08 11:30:57
esm-33-gearnet,0.5943,0.9934,0.9779,0.7826,0.6711,0.9127,0.8791,0.0172,0.0879,0.0003,0,2023-12-08 11:32:41
esm-33-gearnet,0.5802,0.993,0.977,0.7688,0.6565,0.8988,0.8475,0.0142,0.114,0.0003,1,2023-12-08 11:34:27
esm-33-gearnet,0.3962,0.9964,0.9732,0.8155,0.5575,0.8002,0.7973,0.0164,0.4892,0.0003,2,2023-12-08 11:36:14
esm-33-gearnet,0.5849,0.9856,0.9701,0.62,0.5867,0.8826,0.623,0.0117,0.4918,0.0003,3,2023-12-08 11:38:02
esm-33-gearnet,0.6604,0.9852,0.9726,0.6422,0.637,0.8901,0.7957,0.0103,0.1499,0.0003,4,2023-12-08 11:39:51
esm-t33-pretrained,0.7311,0.9713,0.962,0.5065,0.59,0.9421,0.7766,0.0891,0.0884,0.0003,0,2023-12-08 11:41:02
esm-t33-pretrained,0.6604,0.9835,0.971,0.6167,0.6231,0.9544,0.8582,0.0582,0.067,0.0003,1,2023-12-08 11:42:10
esm-t33-pretrained,0.4481,0.9894,0.9684,0.6291,0.5154,0.8955,0.8269,0.0643,0.1497,0.0003,2,2023-12-08 11:43:17
esm-t33-pretrained,0.6321,0.9928,0.9788,0.7791,0.6911,0.9687,0.6262,0.0403,0.1942,0.0003,3,2023-12-08 11:44:26
esm-t33-pretrained,0.6085,0.9937,0.9788,0.7963,0.6857,0.9591,0.832,0.0479,0.0637,0.0003,4,2023-12-08 11:45:34
esm-t33-pretrained-freezelm,0.5519,0.993,0.9759,0.7597,0.6358,0.9162,0.8487,0.0676,0.0799,0.0003,0,2023-12-08 11:46:34
esm-t33-pretrained-freezelm,0.5236,0.9926,0.9744,0.74,0.6101,0.9241,0.8467,0.0739,0.0783,0.0003,1,2023-12-08 11:47:34
esm-t33-pretrained-freezelm,0.4104,0.9947,0.9721,0.7565,0.545,0.8187,0.8073,0.0689,0.1985,0.0003,2,2023-12-08 11:48:34
esm-t33-pretrained-freezelm,0.5708,0.9907,0.9744,0.7118,0.6245,0.9243,0.5886,0.052,0.243,0.0003,3,2023-12-08 11:49:34
esm-t33-pretrained-freezelm,0.5896,0.989,0.9735,0.6831,0.6211,0.9032,0.8329,0.068,0.0773,0.0003,4,2023-12-08 11:50:34
esm-33-gearnet-pretrained,0.5094,0.9964,0.9775,0.8504,0.6483,0.9122,0.891,0.0203,0.0746,0.0003,0,2023-12-08 11:52:19
esm-33-gearnet-pretrained,0.6368,0.9939,0.9801,0.8084,0.7076,0.9401,0.8525,0.0183,0.1,0.0003,1,2023-12-08 11:54:08
esm-33-gearnet-pretrained,0.5,0.9941,0.975,0.7737,0.6103,0.7325,0.7863,0.0119,0.8354,0.0003,2,2023-12-08 11:55:55
esm-33-gearnet-pretrained,0.6745,0.9915,0.9792,0.7606,0.7056,0.9028,0.6275,0.0094,0.4769,0.0003,3,2023-12-08 11:57:43
esm-33-gearnet-pretrained,0.6509,0.9825,0.9697,0.6,0.6092,0.8781,0.8137,0.0177,0.145,0.0003,4,2023-12-08 11:59:31
esm-33-gearnet-pretrained-freezelm,0.5236,0.9954,0.9772,0.8222,0.6457,0.8867,0.8729,0.0132,0.0865,0.0003,0,2023-12-08 12:01:08
esm-33-gearnet-pretrained-freezelm,0.6934,0.9869,0.9755,0.6806,0.6742,0.9254,0.8539,0.0141,0.0959,0.0003,1,2023-12-08 12:02:46
esm-33-gearnet-pretrained-freezelm,0.5236,0.9913,0.9732,0.707,0.5952,0.7604,0.81,0.0132,0.6145,0.0003,2,2023-12-08 12:04:25
esm-33-gearnet-pretrained-freezelm,0.566,0.9947,0.9781,0.8108,0.667,0.9232,0.6404,0.0088,0.5332,0.0003,3,2023-12-08 12:06:04
esm-33-gearnet-pretrained-freezelm,0.5802,0.992,0.9761,0.7455,0.6457,0.8998,0.8209,0.0092,0.1433,0.0003,4,2023-12-08 12:07:41
esm-33-gearnet-pretrained-freezeall,0.4623,0.993,0.9724,0.7259,0.5663,0.8005,0.8107,0.0583,0.082,0.0003,0,2023-12-08 12:09:07
esm-33-gearnet-pretrained-freezeall,0.4623,0.9899,0.9695,0.649,0.5327,0.8246,0.731,0.0577,0.1125,0.0003,1,2023-12-08 12:10:33
esm-33-gearnet-pretrained-freezeall,0.4292,0.9911,0.9693,0.6594,0.5173,0.7691,0.7139,0.0583,0.362,0.0003,2,2023-12-08 12:11:59
esm-33-gearnet-pretrained-freezeall,0.4151,0.9896,0.9673,0.6154,0.4895,0.8314,0.5722,0.0504,0.229,0.0003,3,2023-12-08 12:13:23
esm-33-gearnet-pretrained-freezeall,0.3915,0.9949,0.9715,0.7545,0.5313,0.8117,0.7992,0.0615,0.0961,0.0003,4,2023-12-08 12:14:48
esm-33-gearnet-rboost50,0.6887,0.9939,0.9821,0.8202,0.7426,0.9197,0.895,,,,0,2023-12-08 18:43:26
esm-33-gearnet-rboost50,0.6462,0.993,0.9795,0.7874,0.703,0.9184,0.865,,,,1,2023-12-08 18:59:43
esm-33-gearnet-rboost50,0.4245,0.9964,0.9743,0.8257,0.5814,0.7603,0.8293,,,,2,2023-12-08 19:15:59
esm-33-gearnet-rboost50,0.6274,0.9951,0.9808,0.8365,0.7151,0.9158,0.637,,,,3,2023-12-08 19:32:14
